Month,Day,Hour,
1,1,1,22.4
1,1,2,28.0
1,1,3,32.4
1,1,4,26.3
1,1,5,28.7
1,1,6,23.5
1,1,7,35.4
1,1,8,23.6
1,1,9,29.9
1,1,10,30.3
1,1,11,28.4
1,1,12,25.4
1,1,13,22.6
1,1,14,25.7
1,1,15,35.9
1,1,16,26.4
1,1,17,22.9
1,1,18,27.8
1,1,19,28.9
1,1,20,23.1
1,1,21,30.1
1,1,22,30.5
1,1,23,27.1
1,1,24,27.0
1,2,1,22.8
1,2,2,28.7
1,2,3,32.4
1,2,4,24.3
1,2,5,29.9
1,2,6,23.5
1,2,7,32.6
1,2,8,24.9
1,2,9,30.5
1,2,10,28.9
1,2,11,29.6
1,2,12,19.6
1,2,13,31.7
1,2,14,24.5
1,2,15,33.3
1,2,16,29.6
1,2,17,24.5
1,2,18,29.9
1,2,19,27.1
1,2,20,26.8
1,2,21,32.7
1,2,22,32.4
1,2,23,24.5
1,2,24,25.0
1,3,1,24.7
1,3,2,27.7
1,3,3,31.7
1,3,4,21.5
1,3,5,26.3
1,3,6,33.6
1,3,7,50.6
1,3,8,45.5
1,3,9,60.6
1,3,10,52.2
1,3,11,64.9
1,3,12,54.3
1,3,13,49.0
1,3,14,52.5
1,3,15,53.0
1,3,16,53.6
1,3,17,40.4
1,3,18,37.5
1,3,19,43.6
1,3,20,32.4
1,3,21,35.9
1,3,22,37.8
1,3,23,32.6
1,3,24,36.9
1,4,1,33.1
1,4,2,34.5
1,4,3,33.1
1,4,4,35.0
1,4,5,57.2
1,4,6,81.6
1,4,7,107.1
1,4,8,147.7
1,4,9,152.8
1,4,10,163.3
1,4,11,153.7
1,4,12,148.8
1,4,13,129.7
1,4,14,138.6
1,4,15,139.8
1,4,16,103.8
1,4,17,79.1
1,4,18,94.9
1,4,19,98.5
1,4,20,86.1
1,4,21,95.0
1,4,22,89.1
1,4,23,89.3
1,4,24,80.7
1,5,1,73.3
1,5,2,69.1
1,5,3,72.8
1,5,4,67.0
1,5,5,102.7
1,5,6,124.6
1,5,7,129.0
1,5,8,151.6
1,5,9,150.9
1,5,10,145.6
1,5,11,149.1
1,5,12,143.3
1,5,13,131.3
1,5,14,143.0
1,5,15,126.5
1,5,16,111.1
1,5,17,89.1
1,5,18,89.4
1,5,19,91.5
1,5,20,78.4
1,5,21,83.8
1,5,22,85.8
1,5,23,79.5
1,5,24,75.4
1,6,1,71.8
1,6,2,70.0
1,6,3,70.9
1,6,4,71.4
1,6,5,94.2
1,6,6,108.0
1,6,7,137.9
1,6,8,155.1
1,6,9,162.4
1,6,10,161.4
1,6,11,170.5
1,6,12,158.2
1,6,13,158.9
1,6,14,150.9
1,6,15,144.2
1,6,16,117.1
1,6,17,84.4
1,6,18,83.0
1,6,19,95.4
1,6,20,91.9
1,6,21,86.8
1,6,22,90.0
1,6,23,88.9
1,6,24,84.7
1,7,1,71.2
1,7,2,72.5
1,7,3,69.7
1,7,4,76.3
1,7,5,90.3
1,7,6,124.1
1,7,7,156.3
1,7,8,147.0
1,7,9,153.7
1,7,10,148.8
1,7,11,155.2
1,7,12,141.1
1,7,13,90.7
1,7,14,91.9
1,7,15,89.3
1,7,16,90.3
1,7,17,83.5
1,7,18,80.3
1,7,19,85.4
1,7,20,79.5
1,7,21,85.9
1,7,22,84.9
1,7,23,78.2
1,7,24,69.0
1,8,1,71.4
1,8,2,70.0
1,8,3,65.8
1,8,4,68.1
1,8,5,68.6
1,8,6,66.9
1,8,7,67.7
1,8,8,60.4
1,8,9,66.0
1,8,10,69.7
1,8,11,63.5
1,8,12,57.4
1,8,13,61.1
1,8,14,56.9
1,8,15,72.6
1,8,16,62.0
1,8,17,59.7
1,8,18,60.0
1,8,19,70.0
1,8,20,64.2
1,8,21,65.3
1,8,22,62.0
1,8,23,67.7
1,8,24,66.7
1,9,1,63.0
1,9,2,61.8
1,9,3,66.5
1,9,4,63.0
1,9,5,62.7
1,9,6,64.9
1,9,7,66.7
1,9,8,56.9
1,9,9,63.9
1,9,10,65.5
1,9,11,63.4
1,9,12,59.7
1,9,13,60.7
1,9,14,53.4
1,9,15,72.1
1,9,16,61.8
1,9,17,58.1
1,9,18,61.4
1,9,19,69.7
1,9,20,60.9
1,9,21,63.5
1,9,22,65.3
1,9,23,66.2
1,9,24,67.6
1,10,1,62.3
1,10,2,62.0
1,10,3,65.3
1,10,4,60.6
1,10,5,71.2
1,10,6,88.2
1,10,7,104.1
1,10,8,111.0
1,10,9,104.3
1,10,10,107.1
1,10,11,103.8
1,10,12,95.4
1,10,13,85.9
1,10,14,105.2
1,10,15,85.2
1,10,16,81.4
1,10,17,71.9
1,10,18,86.3
1,10,19,75.4
1,10,20,73.3
1,10,21,81.2
1,10,22,85.1
1,10,23,86.6
1,10,24,76.7
1,11,1,66.5
1,11,2,70.0
1,11,3,63.2
1,11,4,70.4
1,11,5,96.1
1,11,6,127.2
1,11,7,142.3
1,11,8,157.7
1,11,9,172.4
1,11,10,145.3
1,11,11,137.0
1,11,12,128.3
1,11,13,132.3
1,11,14,135.8
1,11,15,134.1
1,11,16,112.7
1,11,17,86.8
1,11,18,84.2
1,11,19,93.1
1,11,20,80.3
1,11,21,89.1
1,11,22,84.9
1,11,23,91.4
1,11,24,81.2
1,12,1,73.2
1,12,2,69.5
1,12,3,74.9
1,12,4,69.3
1,12,5,101.2
1,12,6,134.9
1,12,7,136.9
1,12,8,155.1
1,12,9,160.3
1,12,10,175.0
1,12,11,167.0
1,12,12,137.7
1,12,13,138.6
1,12,14,149.5
1,12,15,138.1
1,12,16,106.2
1,12,17,86.6
1,12,18,93.5
1,12,19,103.8
1,12,20,92.6
1,12,21,87.9
1,12,22,89.1
1,12,23,91.0
1,12,24,81.0
1,13,1,74.4
1,13,2,74.0
1,13,3,70.7
1,13,4,74.9
1,13,5,91.5
1,13,6,115.7
1,13,7,132.5
1,13,8,155.1
1,13,9,159.8
1,13,10,158.4
1,13,11,158.6
1,13,12,158.2
1,13,13,161.0
1,13,14,164.0
1,13,15,142.1
1,13,16,119.2
1,13,17,87.5
1,13,18,86.1
1,13,19,106.9
1,13,20,94.7
1,13,21,96.8
1,13,22,88.2
1,13,23,91.5
1,13,24,85.1
1,14,1,73.2
1,14,2,74.2
1,14,3,75.8
1,14,4,69.5
1,14,5,85.2
1,14,6,95.0
1,14,7,102.7
1,14,8,98.7
1,14,9,97.5
1,14,10,101.3
1,14,11,101.5
1,14,12,96.1
1,14,13,64.9
1,14,14,87.0
1,14,15,87.5
1,14,16,75.1
1,14,17,70.2
1,14,18,81.7
1,14,19,84.5
1,14,20,68.6
1,14,21,80.7
1,14,22,82.4
1,14,23,76.0
1,14,24,67.7
1,15,1,63.2
1,15,2,69.0
1,15,3,69.3
1,15,4,63.0
1,15,5,66.9
1,15,6,68.3
1,15,7,75.1
1,15,8,61.6
1,15,9,70.4
1,15,10,66.5
1,15,11,65.3
1,15,12,65.6
1,15,13,62.0
1,15,14,61.8
1,15,15,78.8
1,15,16,64.6
1,15,17,57.4
1,15,18,67.6
1,15,19,75.1
1,15,20,68.1
1,15,21,66.0
1,15,22,67.4
1,15,23,67.4
1,15,24,73.7
1,16,1,66.2
1,16,2,65.5
1,16,3,71.1
1,16,4,62.3
1,16,5,68.1
1,16,6,67.7
1,16,7,72.1
1,16,8,61.8
1,16,9,68.1
1,16,10,64.8
1,16,11,68.8
1,16,12,66.3
1,16,13,74.4
1,16,14,65.6
1,16,15,78.4
1,16,16,68.8
1,16,17,63.2
1,16,18,69.0
1,16,19,76.1
1,16,20,69.7
1,16,21,70.0
1,16,22,71.4
1,16,23,71.1
1,16,24,76.0
1,17,1,67.7
1,17,2,71.1
1,17,3,74.7
1,17,4,66.7
1,17,5,79.6
1,17,6,106.9
1,17,7,159.8
1,17,8,166.6
1,17,9,156.3
1,17,10,155.8
1,17,11,158.6
1,17,12,151.2
1,17,13,137.9
1,17,14,140.9
1,17,15,118.5
1,17,16,95.6
1,17,17,83.5
1,17,18,84.4
1,17,19,85.6
1,17,20,78.4
1,17,21,86.5
1,17,22,87.0
1,17,23,90.1
1,17,24,86.5
1,18,1,73.2
1,18,2,73.3
1,18,3,70.5
1,18,4,72.5
1,18,5,95.4
1,18,6,135.1
1,18,7,143.7
1,18,8,175.5
1,18,9,171.7
1,18,10,165.4
1,18,11,179.2
1,18,12,162.8
1,18,13,185.3
1,18,14,158.0
1,18,15,148.1
1,18,16,115.0
1,18,17,92.6
1,18,18,87.0
1,18,19,102.9
1,18,20,93.1
1,18,21,98.2
1,18,22,96.3
1,18,23,90.5
1,18,24,85.1
1,19,1,82.1
1,19,2,71.8
1,19,3,78.9
1,19,4,74.4
1,19,5,94.7
1,19,6,120.8
1,19,7,141.8
1,19,8,159.8
1,19,9,159.1
1,19,10,156.8
1,19,11,161.0
1,19,12,152.3
1,19,13,159.3
1,19,14,161.0
1,19,15,141.1
1,19,16,111.7
1,19,17,86.5
1,19,18,87.5
1,19,19,100.6
1,19,20,91.2
1,19,21,90.0
1,19,22,84.9
1,19,23,87.3
1,19,24,79.5
1,20,1,74.2
1,20,2,74.7
1,20,3,72.1
1,20,4,73.3
1,20,5,90.0
1,20,6,141.9
1,20,7,177.1
1,20,8,165.2
1,20,9,180.4
1,20,10,183.1
1,20,11,167.0
1,20,12,136.7
1,20,13,122.0
1,20,14,146.0
1,20,15,115.2
1,20,16,102.7
1,20,17,96.3
1,20,18,99.9
1,20,19,89.3
1,20,20,91.0
1,20,21,93.3
1,20,22,93.3
1,20,23,97.5
1,20,24,81.9
1,21,1,78.4
1,21,2,73.7
1,21,3,71.9
1,21,4,71.8
1,21,5,80.3
1,21,6,94.0
1,21,7,99.6
1,21,8,80.2
1,21,9,88.0
1,21,10,93.6
1,21,11,79.8
1,21,12,78.9
1,21,13,75.1
1,21,14,78.9
1,21,15,84.5
1,21,16,70.9
1,21,17,76.1
1,21,18,80.3
1,21,19,77.4
1,21,20,73.7
1,21,21,70.7
1,21,22,81.0
1,21,23,75.3
1,21,24,62.5
1,22,1,63.0
1,22,2,57.8
1,22,3,69.1
1,22,4,55.8
1,22,5,65.5
1,22,6,66.3
1,22,7,68.1
1,22,8,61.8
1,22,9,64.8
1,22,10,64.8
1,22,11,63.0
1,22,12,57.1
1,22,13,59.2
1,22,14,58.5
1,22,15,73.7
1,22,16,62.8
1,22,17,58.5
1,22,18,64.2
1,22,19,74.0
1,22,20,60.7
1,22,21,63.7
1,22,22,66.7
1,22,23,63.2
1,22,24,70.2
1,23,1,61.1
1,23,2,61.4
1,23,3,65.6
1,23,4,57.6
1,23,5,66.5
1,23,6,67.4
1,23,7,66.9
1,23,8,60.0
1,23,9,66.0
1,23,10,65.8
1,23,11,64.6
1,23,12,58.3
1,23,13,58.8
1,23,14,57.4
1,23,15,72.1
1,23,16,65.1
1,23,17,56.0
1,23,18,66.3
1,23,19,72.3
1,23,20,60.6
1,23,21,65.8
1,23,22,67.6
1,23,23,62.0
1,23,24,71.4
1,24,1,60.4
1,24,2,65.8
1,24,3,67.0
1,24,4,58.1
1,24,5,68.6
1,24,6,68.4
1,24,7,81.4
1,24,8,68.1
1,24,9,74.4
1,24,10,79.3
1,24,11,78.8
1,24,12,75.4
1,24,13,77.2
1,24,14,88.0
1,24,15,83.5
1,24,16,72.3
1,24,17,76.1
1,24,18,79.3
1,24,19,70.4
1,24,20,69.7
1,24,21,75.6
1,24,22,78.6
1,24,23,76.7
1,24,24,71.2
1,25,1,65.5
1,25,2,65.1
1,25,3,65.8
