Month,Day,Hour,SITE CONSUMPTION Grid supply (kWh),SITE CONSUMPTION Natural Gas (kWh),ONSITE SOLAR SYSTEM PRODUCTION (kWh),GRID (OMIE) Price (€/MWh),NG (MIBGAS) Price (€/MWh)
1,1,1,224,44.8,0,-1.2249999999999999,0.6124999999999999
1,1,2,280,56.00000000000001,0,-1.022,0.511
1,1,3,323.75,64.75,0,-3.6889999999999996,1.8444999999999998
1,1,4,262.5,52.5,0,-3.0869999999999997,1.5434999999999999
1,1,5,287,57.400000000000006,0,-3.78,1.89
1,1,6,234.5,46.900000000000006,0,-3.283,1.6415
1,1,7,353.5,70.7,0,-0.9169999999999999,0.45849999999999996
1,1,8,236.25,47.25000000000001,0,-1.099,0.5495
1,1,9,299.25,59.85,0,-0.721,0.3605
1,1,10,302.75,60.55,10.595403072996868,-0.161,0.0805
1,1,11,283.5,56.70000000000001,30.60894221087984,-0.518,0.259
1,1,12,253.75,50.75,80.05415655153189,-0.39899999999999997,0.19949999999999998
1,1,13,225.75000000000003,45.150000000000006,245.46017119109405,-0.08399999999999999,0.041999999999999996
1,1,14,257.25,51.45,260.1760087924786,0.595,0.2975
1,1,15,358.75,71.75,133.03117191651623,16.45,8.225
1,1,16,264.25,52.85,35.90664374737827,25.578,12.789
1,1,17,229.25,45.85,0.5886335040553815,32.221,16.1105
1,1,18,278.25,55.65000000000001,0,25.648,12.824
1,1,19,288.75,57.75,0,38.464999999999996,19.232499999999998
1,1,20,231,46.2,0,32.080999999999996,16.040499999999998
1,1,21,301,60.2,0,25.599,12.7995
1,1,22,304.5,60.9,0,32.172,16.086
1,1,23,271.24999999999994,54.25,0,24.5,12.25
1,1,24,269.5,53.900000000000006,0,48.943999999999996,24.471999999999998
1,2,1,227.5,45.5,0,41.397999999999996,20.698999999999998
1,2,2,287,57.40000000000001,0,37.050999999999995,18.525499999999997
1,2,3,323.75,64.75,0,29.813,14.9065
1,2,4,243.25000000000003,48.65000000000001,0,35.056,17.528
1,2,5,299.25000000000006,59.85000000000001,0,48.803999999999995,24.401999999999997
1,2,6,234.5,46.900000000000006,0,73.556,36.778
1,2,7,325.5,65.1,0,98.44799999999998,49.22399999999999
1,2,8,248.5,49.7,0,106.32299999999998,53.16149999999999
1,2,9,304.5,60.9,0,111.188,55.594
1,2,10,288.75,57.75,19.42490563382759,101.927,50.9635
1,2,11,295.75,59.150000000000006,65.92695245420272,100.34499999999998,50.17249999999999
1,2,12,195.99999999999997,39.2,93.59272714480565,101.06599999999999,50.532999999999994
1,2,13,316.75,63.35,104.18813021780252,100.63199999999999,50.315999999999995
1,2,14,245,49,131.26527140435007,103.73999999999998,51.86999999999999
1,2,15,332.5,66.5,80.64279005558727,108.738,54.369
1,2,16,295.75,59.15,42.38161229198747,114.31,57.155
1,2,17,245,49,7.652235552719959,123.067,61.5335
1,2,18,299.25000000000006,59.85000000000001,0,122.318,61.159
1,2,19,271.24999999999994,54.25,0,116.51499999999999,58.25749999999999
1,2,20,267.75,53.550000000000004,0,107.1,53.55
1,2,21,327.25,65.45,0,99.16899999999998,49.58449999999999
1,2,22,323.75,64.75,0,94.437,47.2185
1,2,23,245,49,0,86.954,43.477
1,2,24,250.25,50.05,0,91.00699999999999,45.503499999999995
1,3,1,246.75,49.35000000000001,0,84,42
1,3,2,276.5,55.300000000000004,0,83.132,41.566
1,3,3,316.75000000000006,63.35000000000001,0,80.5,40.25
1,3,4,215.25000000000003,43.050000000000004,0,79.541,39.7705
1,3,5,262.49999999999994,52.5,0,81.389,40.6945
1,3,6,336,67.2,0,97.24399999999999,48.62199999999999
1,3,7,505.75,101.15000000000002,0,111.94399999999999,55.971999999999994
1,3,8,455,91,0,118.41899999999998,59.20949999999999
1,3,9,605.5,121.10000000000001,0,119.826,59.913
1,3,10,521.5,104.30000000000001,5.297701536498433,117.99899999999998,58.99949999999999
1,3,11,649.25,129.85,30.02030870682446,118.643,59.3215
1,3,12,542.5,108.50000000000001,79.46552304747651,115.14999999999999,57.574999999999996
1,3,13,490,98,77.69962253531035,112.63699999999999,56.31849999999999
1,3,14,525,105,41.792978787932086,114.142,57.071
1,3,15,530.25,106.05000000000001,34.72937673926751,116.64799999999998,58.32399999999999
1,3,16,535.5,107.10000000000001,25.89987417843679,116.64799999999998,58.32399999999999
1,3,17,404.25,80.85,0,119.66499999999998,59.83249999999999
1,3,18,374.49999999999994,74.89999999999999,0,118.279,59.1395
1,3,19,435.75,87.15000000000002,0,112.693,56.3465
1,3,20,323.75,64.75,0,104.734,52.367
1,3,21,358.75,71.75,0,91.728,45.864
1,3,22,378,75.6,0,80.28299999999999,40.14149999999999
1,3,23,325.5,65.1,0,65.632,32.816
1,3,24,369.25,73.85,0,56.119,28.0595
1,4,1,330.75,66.15,0,48.523999999999994,24.261999999999997
1,4,2,344.75,68.95,0,27.705999999999996,13.852999999999998
1,4,3,330.75,66.15,0,1.8339999999999999,0.9169999999999999
1,4,4,350,70,0,0.595,0.2975
1,4,5,572.25,114.45,0,7.7139999999999995,3.8569999999999998
1,4,6,815.5,163.1,0,42.721,21.3605
1,4,7,1071,214.20000000000002,0,66.22,33.11
1,4,8,1477.0000000000002,295.4000000000001,0,93.91199999999999,46.955999999999996
1,4,9,1527.75,305.55,0,90.74799999999999,45.373999999999995
1,4,10,1632.7499999999998,326.54999999999995,8.829502560830722,84.49,42.245
1,4,11,1536.5,307.30000000000007,35.90664374737827,70.16799999999999,35.083999999999996
1,4,12,1487.5,297.5,63.5724184379812,73.521,36.7605
1,4,13,1296.7499999999998,259.34999999999997,72.40192099881193,74.19999999999999,37.099999999999994
1,4,14,1386,277.2,68.28148647042426,73.54899999999999,36.774499999999996
1,4,15,1398.25,279.65,29.43167520276908,72.73,36.365
1,4,16,1037.75,207.55,7.063602048664578,75.586,37.793
1,4,17,791,158.2,0,85.645,42.8225
1,4,18,948.5000000000001,189.70000000000002,0,97.951,48.9755
1,4,19,985.2499999999999,197.04999999999998,0,90.643,45.3215
1,4,20,861,172.2,0,74.12299999999999,37.061499999999995
1,4,21,950.25,190.05,0,63.42699999999999,31.713499999999996
1,4,22,890.75,178.15,0,61.544,30.772
1,4,23,892.5,178.5,0,54.733,27.3665
1,4,24,806.7500000000001,161.35000000000002,0,24.346,12.173
1,5,1,733.2499999999999,146.64999999999998,0,21.994,10.997
1,5,2,691.25,138.25,0,23.169999999999998,11.584999999999999
1,5,3,728,145.6,0,10.192,5.096
1,5,4,670.25,134.05,0,15.533,7.7665
1,5,5,1027.25,205.45000000000002,0,28.84,14.42
1,5,6,1246,249.20000000000002,0,54.971,27.4855
1,5,7,1289.7500000000002,257.95000000000005,0,89.586,44.793
1,5,8,1515.4999999999998,303.09999999999997,0,98.714,49.357
1,5,9,1508.5,301.70000000000005,0,103.026,51.513
1,5,10,1456,291.2,10.006769568941486,104.86699999999999,52.433499999999995
1,5,11,1491,298.2,22.368073154104493,103.222,51.611
1,5,12,1433.25,286.65,50.62248134876281,100.21899999999998,50.10949999999999
1,5,13,1312.5,262.5,68.28148647042426,100.65299999999999,50.326499999999996
1,5,14,1429.75,285.95,66.51558595825811,105.72099999999999,52.860499999999995
1,5,15,1265.25,253.05,23.54534016221526,111.63599999999998,55.81799999999999
1,5,16,1111.25,222.25,8.829502560830724,120.91099999999999,60.455499999999994
1,5,17,890.7499999999999,178.14999999999998,0,127.63799999999999,63.818999999999996
1,5,18,894.2499999999998,178.84999999999997,0,136.26899999999998,68.13449999999999
1,5,19,915.25,183.05000000000004,0,124.58599999999998,62.29299999999999
1,5,20,784,156.8,0,114.79299999999999,57.396499999999996
1,5,21,838.2499999999999,167.64999999999998,0,106.39999999999999,53.199999999999996
1,5,22,857.5,171.50000000000003,0,101.24799999999999,50.623999999999995
1,5,23,794.5,158.9,0,88.89999999999999,44.449999999999996
1,5,24,754.2500000000001,150.85000000000002,0,75.047,37.5235
