Epoch 1, train_loss=0.027209, test_loss=0.009896                                                                                
Epoch 2, train_loss=0.009845, test_loss=0.010728                                                                                
Epoch 3, train_loss=0.009126, test_loss=0.010813                                                                                
Epoch 4, train_loss=0.008138, test_loss=0.008228                                                                                
Epoch 5, train_loss=0.005613, test_loss=0.004770                                                                                
Epoch 6, train_loss=0.005285, test_loss=0.004372                                                                                
Epoch 7, train_loss=0.005039, test_loss=0.004051                                                                                
Epoch 8, train_loss=0.004934, test_loss=0.004043                                                                                
Epoch 9, train_loss=0.004872, test_loss=0.003877                                                                                
Epoch 10, train_loss=0.004677, test_loss=0.003895                                                                                
Epoch 11, train_loss=0.004546, test_loss=0.003405                                                                                
Epoch 12, train_loss=0.004289, test_loss=0.003390                                                                                
Epoch 13, train_loss=0.003925, test_loss=0.002645                                                                                
Epoch 14, train_loss=0.003318, test_loss=0.002072                                                                                
Epoch 15, train_loss=0.002536, test_loss=0.001770                                                                                
Epoch 16, train_loss=0.002013, test_loss=0.001475                                                                                
Epoch 17, train_loss=0.001807, test_loss=0.001265                                                                                
Epoch 18, train_loss=0.001693, test_loss=0.001145                                                                                
Epoch 19, train_loss=0.001531, test_loss=0.001090                                                                                
Epoch 20, train_loss=0.001427, test_loss=0.000970                                                                                
Epoch 21, train_loss=0.001316, test_loss=0.000799                                                                                
Epoch 22, train_loss=0.001194, test_loss=0.000713                                                                                
Epoch 23, train_loss=0.001194, test_loss=0.001148                                                                                
Epoch 24, train_loss=0.001146, test_loss=0.000761                                                                                
Epoch 25, train_loss=0.001075, test_loss=0.000604                                                                                
Epoch 26, train_loss=0.001016, test_loss=0.000592                                                                                
Epoch 27, train_loss=0.001032, test_loss=0.000556                                                                                
Epoch 28, train_loss=0.001063, test_loss=0.000666                                                                                
Epoch 29, train_loss=0.001004, test_loss=0.000554                                                                                
Epoch 30, train_loss=0.000933, test_loss=0.000570                                                                                
Epoch 31, train_loss=0.000951, test_loss=0.000517                                                                                
Epoch 32, train_loss=0.000927, test_loss=0.000722                                                                                
