Epoch 1, train_loss=0.039618, test_loss=0.015013                                                                                
Epoch 2, train_loss=0.009216, test_loss=0.010787                                                                                
Epoch 3, train_loss=0.006795, test_loss=0.005036                                                                                
Epoch 4, train_loss=0.005271, test_loss=0.004296                                                                                
Epoch 5, train_loss=0.005110, test_loss=0.004042                                                                                
Epoch 6, train_loss=0.005002, test_loss=0.003890                                                                                
Epoch 7, train_loss=0.004800, test_loss=0.003746                                                                                
Epoch 8, train_loss=0.004587, test_loss=0.003576                                                                                
Epoch 9, train_loss=0.004215, test_loss=0.003008                                                                                
Epoch 10, train_loss=0.003555, test_loss=0.002258                                                                                
Epoch 11, train_loss=0.002507, test_loss=0.001784                                                                                
Epoch 12, train_loss=0.002032, test_loss=0.001308                                                                                
Epoch 13, train_loss=0.001657, test_loss=0.001051                                                                                
Epoch 14, train_loss=0.001447, test_loss=0.000867                                                                                
Epoch 15, train_loss=0.001361, test_loss=0.000909                                                                                
Epoch 16, train_loss=0.001219, test_loss=0.000645                                                                                
Epoch 17, train_loss=0.001088, test_loss=0.000602                                                                                
Epoch 18, train_loss=0.001014, test_loss=0.000639                                                                                
Epoch 19, train_loss=0.000982, test_loss=0.000777                                                                                
Epoch 20, train_loss=0.000975, test_loss=0.000501                                                                                
Epoch 21, train_loss=0.000948, test_loss=0.000494                                                                                
Epoch 22, train_loss=0.000949, test_loss=0.000500                                                                                
Epoch 23, train_loss=0.001004, test_loss=0.000752                                                                                
Epoch 24, train_loss=0.001029, test_loss=0.000703                                                                                
Epoch 25, train_loss=0.000947, test_loss=0.000530                                                                                
Epoch 26, train_loss=0.000922, test_loss=0.000486                                                                                
Epoch 27, train_loss=0.000925, test_loss=0.000531                                                                                
Epoch 28, train_loss=0.000940, test_loss=0.000474                                                                                
Epoch 29, train_loss=0.000944, test_loss=0.000481                                                                                
Epoch 30, train_loss=0.000916, test_loss=0.000582                                                                                
Epoch 31, train_loss=0.000926, test_loss=0.000529                                                                                
Epoch 32, train_loss=0.000961, test_loss=0.000529                                                                                
Epoch 33, train_loss=0.000925, test_loss=0.000495                                                                                
Epoch 34, train_loss=0.000913, test_loss=0.000480                                                                                
Epoch 35, train_loss=0.000905, test_loss=0.000501                                                                                
Epoch 36, train_loss=0.000892, test_loss=0.000480                                                                                
Epoch 37, train_loss=0.000943, test_loss=0.000509                                                                                
Epoch 38, train_loss=0.000923, test_loss=0.000483                                                                                
Epoch 39, train_loss=0.000888, test_loss=0.000472                                                                                
Epoch 40, train_loss=0.000911, test_loss=0.000489                                                                                
Epoch 41, train_loss=0.000912, test_loss=0.000483                                                                                
Epoch 42, train_loss=0.000887, test_loss=0.000464                                                                                
Epoch 43, train_loss=0.000978, test_loss=0.000511                                                                                
Epoch 44, train_loss=0.000930, test_loss=0.000709                                                                                
Epoch 45, train_loss=0.000911, test_loss=0.000469                                                                                
Epoch 46, train_loss=0.000873, test_loss=0.000479                                                                                
Epoch 47, train_loss=0.000864, test_loss=0.000480                                                                                
Epoch 48, train_loss=0.000860, test_loss=0.000486                                                                                
Epoch 49, train_loss=0.000823, test_loss=0.000617                                                                                
Epoch 50, train_loss=0.000767, test_loss=0.000446                                                                                
Epoch 51, train_loss=0.000743, test_loss=0.000441                                                                                
Epoch 52, train_loss=0.000744, test_loss=0.000506                                                                                
Epoch 53, train_loss=0.000733, test_loss=0.000427                                                                                
Epoch 54, train_loss=0.000719, test_loss=0.000436                                                                                
Epoch 55, train_loss=0.000705, test_loss=0.000439                                                                                
Epoch 56, train_loss=0.000711, test_loss=0.000473                                                                                
Epoch 57, train_loss=0.000700, test_loss=0.000486                                                                                
Epoch 58, train_loss=0.000719, test_loss=0.000413                                                                                
Epoch 59, train_loss=0.000717, test_loss=0.000414                                                                                
Epoch 60, train_loss=0.000696, test_loss=0.000438                                                                                
Epoch 61, train_loss=0.000686, test_loss=0.000405                                                                                
Epoch 62, train_loss=0.000689, test_loss=0.000405                                                                                
Epoch 63, train_loss=0.000718, test_loss=0.000545                                                                                
Epoch 64, train_loss=0.000685, test_loss=0.000415                                                                                
Epoch 65, train_loss=0.000669, test_loss=0.000404                                                                                
Epoch 66, train_loss=0.000661, test_loss=0.000398                                                                                
Epoch 67, train_loss=0.000655, test_loss=0.000420                                                                                
Epoch 68, train_loss=0.000677, test_loss=0.000403                                                                                
Epoch 69, train_loss=0.000657, test_loss=0.000459                                                                                
Epoch 70, train_loss=0.000648, test_loss=0.000429                                                                                
Epoch 71, train_loss=0.000638, test_loss=0.000394                                                                                
Epoch 72, train_loss=0.000647, test_loss=0.000406                                                                                
Epoch 73, train_loss=0.000634, test_loss=0.000414                                                                                
Epoch 74, train_loss=0.000647, test_loss=0.000441                                                                                
Epoch 75, train_loss=0.000666, test_loss=0.000384                                                                                
Epoch 76, train_loss=0.000681, test_loss=0.000399                                                                                
Epoch 77, train_loss=0.000640, test_loss=0.000401                                                                                
Epoch 78, train_loss=0.000650, test_loss=0.000386                                                                                
Epoch 79, train_loss=0.000643, test_loss=0.000371                                                                                
Epoch 80, train_loss=0.000637, test_loss=0.000391                                                                                
Epoch 81, train_loss=0.000641, test_loss=0.000380                                                                                
Epoch 82, train_loss=0.000640, test_loss=0.000393                                                                                
Epoch 83, train_loss=0.000635, test_loss=0.000367                                                                                
Epoch 84, train_loss=0.000648, test_loss=0.000585                                                                                
Epoch 85, train_loss=0.000675, test_loss=0.000369                                                                                
Epoch 86, train_loss=0.000640, test_loss=0.000416                                                                                
Epoch 87, train_loss=0.000639, test_loss=0.000376                                                                                
Epoch 88, train_loss=0.000673, test_loss=0.000704                                                                                
Epoch 89, train_loss=0.000674, test_loss=0.000431                                                                                
Epoch 90, train_loss=0.000658, test_loss=0.000411                                                                                
Epoch 91, train_loss=0.000634, test_loss=0.000404                                                                                
Epoch 92, train_loss=0.000630, test_loss=0.000420                                                                                
Epoch 93, train_loss=0.000635, test_loss=0.000390                                                                                
Epoch 94, train_loss=0.000625, test_loss=0.000393                                                                                
Epoch 95, train_loss=0.000637, test_loss=0.000385                                                                                
Epoch 96, train_loss=0.000628, test_loss=0.000391                                                                                
Epoch 97, train_loss=0.000621, test_loss=0.000389                                                                                
Epoch 98, train_loss=0.000624, test_loss=0.000371                                                                                
Epoch 99, train_loss=0.000630, test_loss=0.000368                                                                                
Epoch 100, train_loss=0.000626, test_loss=0.000384                                                                                
Epoch 101, train_loss=0.000615, test_loss=0.000408                                                                                
Epoch 102, train_loss=0.000632, test_loss=0.000442                                                                                
Epoch 103, train_loss=0.000631, test_loss=0.000420                                                                                
Epoch 104, train_loss=0.000627, test_loss=0.000425                                                                                
Epoch 105, train_loss=0.000639, test_loss=0.000401                                                                                
Epoch 106, train_loss=0.000617, test_loss=0.000419                                                                                
Epoch 107, train_loss=0.000623, test_loss=0.000369                                                                                
Epoch 108, train_loss=0.000623, test_loss=0.000388                                                                                
Epoch 109, train_loss=0.000607, test_loss=0.000367                                                                                
Epoch 110, train_loss=0.000638, test_loss=0.000407                                                                                
Epoch 111, train_loss=0.000620, test_loss=0.000358                                                                                
Epoch 112, train_loss=0.000619, test_loss=0.000417                                                                                
Epoch 113, train_loss=0.000638, test_loss=0.000399                                                                                
Epoch 114, train_loss=0.000611, test_loss=0.000437                                                                                
Epoch 115, train_loss=0.000638, test_loss=0.000396                                                                                
Epoch 116, train_loss=0.000608, test_loss=0.000466                                                                                
Epoch 117, train_loss=0.000632, test_loss=0.000400                                                                                
Epoch 118, train_loss=0.000626, test_loss=0.000456                                                                                
Epoch 119, train_loss=0.000635, test_loss=0.000395                                                                                
Epoch 120, train_loss=0.000632, test_loss=0.000444                                                                                
Epoch 121, train_loss=0.000629, test_loss=0.000407                                                                                
